                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.50712,                 3.1546,                 1.0208,                0.01069,                      1,                0.47891,                0.45114,                0.28906,                 2.9081,                0.77118,                  0.082,                  0.002,                  0.002
                      1,                0.48412,                 1.5235,                0.93924,                0.94974,                0.46745,                 0.4981,                0.46347,                 0.3961,                 1.9966,                0.77931,               0.063059,              0.0040594,              0.0040594
                      2,                0.48899,                 1.1356,                0.93437,                0.98727,                0.47761,                0.50954,                0.46359,                0.39136,                 1.8538,                0.77932,               0.044077,              0.0060772,              0.0060772
                      3,                0.55324,                 1.0114,                0.93141,                0.98795,                0.49627,                0.50402,                0.42075,                 0.6419,                 1.0721,                0.85612,               0.025053,              0.0080535,              0.0080535
                      4,                 0.6479,                0.96073,                0.96304,                0.98807,                    0.5,                0.50395,                0.43179,                0.58246,                0.91169,                 0.8348,               0.009604,               0.009604,               0.009604
                      5,                0.57765,                0.99446,                0.95162,                0.98902,                    0.5,                0.50852,                0.46254,                0.43431,                0.90358,                0.80686,               0.009604,               0.009604,               0.009604
                      6,                 0.5854,                  1.005,                0.94318,                0.98547,                0.49854,                0.53389,                 0.4788,                0.52937,                 1.0534,                0.90168,               0.009505,               0.009505,               0.009505
                      7,                0.56201,                0.97924,                0.94573,                0.98549,                0.49936,                0.49855,                0.45145,                0.42343,                0.95591,                 0.8679,               0.009406,               0.009406,               0.009406
                      8,                0.59688,                 0.9927,                0.96151,                0.98508,                0.49627,                0.50261,                0.46009,                0.41431,                0.86832,                0.83025,               0.009307,               0.009307,               0.009307
                      9,                0.57504,                 0.9368,                0.96623,                0.98466,                0.49627,                0.50374,                 0.4402,                 0.5015,                0.86622,                0.82761,               0.009208,               0.009208,               0.009208
                     10,                0.54245,                0.96267,                0.93493,                0.98527,                0.49627,                0.50925,                0.44738,                0.46556,                0.84068,                0.81454,               0.009109,               0.009109,               0.009109
                     11,                0.51841,                0.91983,                  0.938,                0.98493,                    0.5,                 0.5329,                0.48994,                0.40861,                0.74044,                0.82715,                0.00901,                0.00901,                0.00901
                     12,                0.52636,                 0.9377,                0.93313,                0.97194,                    0.5,                 0.5621,                0.49681,                0.47278,                0.74158,                0.82399,               0.008911,               0.008911,               0.008911
                     13,                0.50205,                 0.8105,                 0.9138,                 0.9855,                0.49984,                0.50101,                0.46388,                0.38993,                0.70676,                0.82662,               0.008812,               0.008812,               0.008812
                     14,                0.48676,                0.79647,                 0.9199,                  0.982,                0.49964,                0.50086,                0.47013,                0.35954,                0.75677,                0.80038,               0.008713,               0.008713,               0.008713
                     15,                0.49075,                0.74811,                0.93481,                0.98528,                0.49627,                0.50204,                0.45656,                0.42476,                0.71595,                0.82389,               0.008614,               0.008614,               0.008614
                     16,                0.48275,                0.74485,                0.91955,                0.98392,                    0.5,                  0.498,                0.45783,                0.41791,                0.71101,                0.81526,               0.008515,               0.008515,               0.008515
                     17,                0.49341,                0.78683,                0.92777,                 0.9855,                0.49976,                0.50245,                0.45908,                0.41054,                0.67303,                0.81835,               0.008416,               0.008416,               0.008416
                     18,                0.49364,                 0.7627,                0.92651,                0.98136,                0.49627,                0.49831,                0.45307,                0.40524,                0.65566,                0.82971,               0.008317,               0.008317,               0.008317
                     19,                0.46899,                0.67279,                0.90521,                 0.9878,                    0.5,                0.49769,                0.44423,                0.45688,                0.65031,                0.83397,               0.008218,               0.008218,               0.008218
                     20,                0.46765,                0.69673,                0.90715,                0.98843,                0.49627,                0.50228,                0.45546,                0.45447,                0.63054,                0.82319,               0.008119,               0.008119,               0.008119
                     21,                0.47359,                0.71152,                0.91089,                 0.9788,                    0.5,                0.54545,                0.51272,                0.35027,                0.61457,                0.79485,                0.00802,                0.00802,                0.00802
                     22,                0.46095,                 0.6665,                0.90395,                0.98788,                    0.5,                0.50022,                0.46801,                0.35545,                0.62437,                0.82084,               0.007921,               0.007921,               0.007921
                     23,                0.44596,                0.72464,                0.91973,                0.98703,                0.49627,                0.49843,                0.46505,                0.36386,                0.62652,                0.81237,               0.007822,               0.007822,               0.007822
                     24,                0.45126,                0.70963,                0.91899,                0.49248,                   0.75,                0.50627,                0.47187,                0.34943,                0.58931,                0.79914,               0.007723,               0.007723,               0.007723
                     25,                0.42491,                0.61947,                0.90037,                0.98896,                0.49578,                0.50637,                 0.4694,                0.38141,                0.58918,                0.80022,               0.007624,               0.007624,               0.007624
                     26,                0.44178,                0.63151,                0.89048,                0.99192,                0.49254,                0.50787,                0.48307,                 0.3399,                 0.5762,                0.78842,               0.007525,               0.007525,               0.007525
                     27,                0.41264,                0.64664,                0.89457,                0.98199,                0.49934,                0.52267,                 0.4861,                0.38463,                0.59443,                0.79983,               0.007426,               0.007426,               0.007426
                     28,                0.43948,                0.64033,                0.91622,                0.98519,                0.49627,                 0.5096,                 0.4795,                 0.3718,                0.59409,                0.80744,               0.007327,               0.007327,               0.007327
                     29,                  0.433,                0.63832,                0.90343,                0.98522,                    0.5,                0.52699,                0.50289,                0.33027,                0.54999,                0.80264,               0.007228,               0.007228,               0.007228
                     30,                0.43943,                0.63327,                0.89889,                0.98859,                0.49627,                0.56046,                0.53072,                 0.3431,                0.51574,                0.79996,               0.007129,               0.007129,               0.007129
                     31,                0.41978,                0.55497,                0.89888,                0.97446,                0.49627,                0.74618,                0.71502,                0.35716,                0.53547,                0.79952,                0.00703,                0.00703,                0.00703
                     32,                0.42257,                0.59033,                0.90831,                0.68363,                   0.75,                0.62085,                0.59227,                0.33545,                0.50347,                0.79868,               0.006931,               0.006931,               0.006931
                     33,                0.41507,                0.55707,                0.89769,                0.59795,                0.74627,                0.74706,                0.71944,                0.33164,                0.51976,                0.80359,               0.006832,               0.006832,               0.006832
                     34,                0.41694,                0.58984,                0.89509,                0.72248,                0.74627,                0.74949,                0.69771,                0.33953,                0.51258,                0.81097,               0.006733,               0.006733,               0.006733
                     35,                0.40204,                0.56336,                 0.8907,                 0.7746,                   0.75,                0.75493,                0.72895,                0.31871,                0.47758,                0.81031,               0.006634,               0.006634,               0.006634
                     36,                0.41345,                0.58837,                0.90543,                0.80195,                   0.75,                0.74901,                0.72245,                0.32805,                0.50226,                0.79336,               0.006535,               0.006535,               0.006535
                     37,                0.39538,                 0.5525,                0.88808,                 0.7075,                   0.75,                0.76091,                0.73384,                0.31014,                0.47015,                 0.7947,               0.006436,               0.006436,               0.006436
                     38,                 0.3955,                0.53151,                0.88801,                0.70812,                   0.75,                0.78204,                0.74957,                 0.3312,                0.46179,                0.80556,               0.006337,               0.006337,               0.006337
                     39,                0.39925,                0.49772,                0.89315,                0.78913,                   0.75,                0.84321,                0.81702,                 0.3091,                0.45889,                0.80049,               0.006238,               0.006238,               0.006238
                     40,                0.39092,                0.52797,                0.89141,                0.87557,                0.74627,                0.84008,                0.80562,                0.34815,                0.50546,                0.79063,               0.006139,               0.006139,               0.006139
                     41,                0.39801,                0.50417,                 0.8925,                 0.9221,                0.72951,                0.80467,                0.77405,                0.35181,                0.50077,                0.79942,                0.00604,                0.00604,                0.00604
                     42,                   0.39,                0.47616,                0.88985,                0.81692,                0.70557,                0.81307,                0.78232,                0.29947,                0.49107,                0.79319,               0.005941,               0.005941,               0.005941
                     43,                 0.3978,                0.49863,                0.88424,                0.80204,                      1,                0.90924,                0.84357,                 0.3116,                0.41221,                0.80002,               0.005842,               0.005842,               0.005842
                     44,                0.38441,                0.48991,                0.88704,                0.73758,                0.98928,                0.86864,                0.81005,                0.33762,                0.44443,                0.80075,               0.005743,               0.005743,               0.005743
                     45,                0.37685,                0.47324,                0.88522,                0.73861,                0.99254,                0.86888,                 0.8481,                0.30026,                0.42585,                0.79289,               0.005644,               0.005644,               0.005644
                     46,                0.38372,                0.48658,                0.88705,                 0.9789,                0.99786,                0.99228,                0.93032,                0.31325,                0.40762,                0.78782,               0.005545,               0.005545,               0.005545
                     47,                0.37589,                0.46763,                0.88955,                0.97633,                0.98589,                0.99199,                0.97023,                0.30309,                0.40258,                0.79146,               0.005446,               0.005446,               0.005446
                     48,                0.38719,                0.45451,                0.87968,                0.97999,                      1,                0.99388,                 0.9339,                0.32452,                0.38783,                0.79938,               0.005347,               0.005347,               0.005347
                     49,                0.36499,                0.42843,                0.87702,                0.97904,                0.97843,                0.99332,                0.93456,                0.31519,                0.40562,                0.79858,               0.005248,               0.005248,               0.005248
                     50,                0.36687,                0.44445,                0.89311,                0.97916,                0.99032,                0.99325,                0.95012,                0.29777,                0.40316,                0.79076,               0.005149,               0.005149,               0.005149
                     51,                  0.375,                0.42766,                0.87882,                0.94952,                0.99616,                0.99414,                0.93423,                0.30717,                0.40779,                 0.7881,                0.00505,                0.00505,                0.00505
                     52,                0.35184,                0.42689,                0.86766,                0.98896,                0.98648,                0.99466,                0.97647,                0.29281,                0.38803,                0.78357,               0.004951,               0.004951,               0.004951
                     53,                 0.3578,                 0.4219,                0.88437,                0.72955,                0.99627,                0.86868,                  0.848,                0.29726,                0.38258,                0.78771,               0.004852,               0.004852,               0.004852
                     54,                0.37033,                0.40691,                0.87046,                0.92955,                0.73716,                 0.8688,                0.84506,                0.30024,                0.38645,                0.79082,               0.004753,               0.004753,               0.004753
                     55,                 0.3574,                0.42764,                0.88721,                0.98317,                0.99254,                0.99463,                 0.9656,                0.33386,                0.39955,                0.79471,               0.004654,               0.004654,               0.004654
                     56,                0.34743,                 0.4089,                 0.8747,                0.96677,                0.98959,                0.99327,                0.97045,                0.30157,                0.36521,                0.79229,               0.004555,               0.004555,               0.004555
                     57,                0.35877,                0.42425,                0.87062,                0.98385,                0.99409,                0.99416,                0.97156,                0.29577,                 0.3708,                 0.7984,               0.004456,               0.004456,               0.004456
                     58,                0.35614,                0.43383,                0.88124,                0.98223,                0.99254,                0.99263,                0.97211,                0.30205,                0.38114,                0.80048,               0.004357,               0.004357,               0.004357
                     59,                0.35562,                0.41496,                0.87237,                0.98762,                0.99254,                0.99369,                0.94648,                0.31127,                0.39414,                0.80824,               0.004258,               0.004258,               0.004258
                     60,                 0.3665,                0.41874,                0.89554,                0.97949,                0.97817,                0.99418,                0.93905,                0.30342,                0.37904,                0.80496,               0.004159,               0.004159,               0.004159
                     61,                0.35816,                0.40373,                 0.8748,                0.98542,                0.99577,                0.99493,                0.93783,                0.30598,                 0.3684,                0.79861,                0.00406,                0.00406,                0.00406
                     62,                0.35589,                0.40743,                0.88573,                0.67486,                0.96836,                0.71903,                0.70012,                0.29879,                0.45116,                 0.7949,               0.003961,               0.003961,               0.003961
                     63,                0.34761,                0.38818,                0.87082,                0.99624,                0.97045,                0.99175,                0.97078,                0.29148,                0.35678,                0.78864,               0.003862,               0.003862,               0.003862
                     64,                0.35245,                0.37374,                0.87911,                0.98014,                0.99627,                0.99205,                0.95012,                 0.2999,                0.37752,                0.78741,               0.003763,               0.003763,               0.003763
                     65,                0.34621,                0.37755,                0.87332,                0.98436,                0.99627,                0.99216,                0.95114,                0.30108,                0.37696,                0.79257,               0.003664,               0.003664,               0.003664
                     66,                0.33862,                 0.3911,                0.87817,                0.98815,                0.99627,                 0.9941,                0.95084,                0.29637,                0.36652,                0.79173,               0.003565,               0.003565,               0.003565
                     67,                0.34594,                0.37111,                0.87248,                0.98761,                0.99247,                0.99284,                0.94727,                0.29626,                0.39297,                0.78463,               0.003466,               0.003466,               0.003466
                     68,                0.33678,                0.37259,                0.87446,                 0.9853,                0.99627,                0.99261,                0.94694,                0.30294,                0.37549,                 0.7904,               0.003367,               0.003367,               0.003367
                     69,                0.32832,                 0.3441,                0.86438,                0.98106,                0.99627,                0.99369,                0.95114,                0.29316,                0.35557,                0.79252,               0.003268,               0.003268,               0.003268
                     70,                0.34128,                0.34999,                0.86683,                0.98597,                0.99627,                0.99317,                 0.9547,                0.28707,                 0.3446,                0.79781,               0.003169,               0.003169,               0.003169
                     71,                0.33803,                0.35329,                0.86029,                0.98057,                0.99523,                0.99295,                0.97945,                0.28388,                0.34535,                0.79626,                0.00307,                0.00307,                0.00307
                     72,                0.33301,                0.34571,                0.88047,                0.80113,                 0.9754,                0.82566,                0.78189,                0.29426,                0.36869,                 0.7974,               0.002971,               0.002971,               0.002971
                     73,                0.32426,                0.35243,                0.86816,                0.94084,                0.98856,                 0.9916,                0.93894,                0.29616,                0.33849,                0.80027,               0.002872,               0.002872,               0.002872
                     74,                0.32997,                0.36513,                0.87897,                0.98555,                0.99254,                0.99267,                0.93773,                0.29902,                0.32914,                0.80578,               0.002773,               0.002773,               0.002773
                     75,                0.33572,                0.34221,                0.86726,                0.97458,                0.98881,                0.99334,                0.93907,                0.29859,                 0.3267,                0.79454,               0.002674,               0.002674,               0.002674
                     76,                0.31301,                0.34505,                0.87113,                0.97424,                0.98881,                0.99239,                0.93731,                0.29561,                0.31449,                0.79705,               0.002575,               0.002575,               0.002575
                     77,                0.33556,                0.35728,                  0.874,                0.98325,                0.99373,                0.99218,                0.93588,                 0.2943,                0.31248,                0.79176,               0.002476,               0.002476,               0.002476
                     78,                0.32826,                0.34058,                0.87249,                0.98394,                0.99663,                0.99302,                0.93776,                0.29075,                0.31994,                0.78652,               0.002377,               0.002377,               0.002377
                     79,                0.31141,                0.31915,                 0.8592,                0.98372,                0.99677,                0.99292,                0.93973,                0.29729,                0.32653,                 0.7853,               0.002278,               0.002278,               0.002278
                     80,                0.33262,                 0.3398,                0.86997,                0.98358,                0.99446,                0.99338,                0.94016,                0.29255,                 0.3195,                0.78274,               0.002179,               0.002179,               0.002179
                     81,                0.31342,                0.33414,                0.86139,                0.98504,                0.99254,                0.99346,                 0.9421,                0.28558,                0.32172,                0.78065,                0.00208,                0.00208,                0.00208
                     82,                0.32055,                 0.3294,                0.86108,                0.98621,                0.99254,                0.99357,                0.93881,                0.29437,                0.31395,                0.77983,               0.001981,               0.001981,               0.001981
                     83,                0.31941,                0.34198,                0.86193,                0.98248,                0.99254,                 0.9944,                0.94394,                0.28137,                0.30204,                0.77971,               0.001882,               0.001882,               0.001882
                     84,                0.30198,                0.32279,                0.86555,                0.97984,                0.99254,                0.99489,                0.94349,                0.28973,                 0.3015,                 0.7815,               0.001783,               0.001783,               0.001783
                     85,                0.31047,                 0.3268,                0.85188,                0.98338,                0.99579,                0.99485,                0.94049,                0.29227,                0.30378,                 0.7915,               0.001684,               0.001684,               0.001684
                     86,                0.30105,                0.32657,                0.86327,                0.98393,                 0.9953,                0.99235,                 0.9359,                 0.2877,                0.30483,                0.79095,               0.001585,               0.001585,               0.001585
                     87,                0.31044,                0.31324,                0.86516,                0.98097,                0.99356,                0.99177,                0.94815,                0.28521,                0.30055,                0.78755,               0.001486,               0.001486,               0.001486
                     88,                0.30751,                0.31809,                 0.8618,                0.98248,                 0.9931,                0.99133,                0.93832,                0.28297,                0.29828,                0.78769,               0.001387,               0.001387,               0.001387
                     89,                0.30407,                0.32159,                0.85522,                 0.9825,                0.99286,                0.99129,                0.93905,                0.28199,                0.30085,                 0.7855,               0.001288,               0.001288,               0.001288
                     90,                0.31449,                0.32828,                0.87307,                0.98456,                0.99254,                0.99143,                0.93661,                0.28305,                0.29631,                0.78672,               0.001189,               0.001189,               0.001189
                     91,                0.29001,                0.31499,                 0.8643,                0.98491,                0.99254,                0.99154,                 0.9397,                0.28429,                0.29092,                 0.7881,                0.00109,                0.00109,                0.00109
                     92,                0.31544,                0.31627,                0.87425,                0.98225,                0.99265,                0.99267,                0.94151,                0.28021,                0.28496,                0.78585,               0.000991,               0.000991,               0.000991
                     93,                0.30635,                0.30337,                0.85502,                0.98066,                0.99258,                0.99376,                0.94307,                0.27952,                0.28821,                0.78423,               0.000892,               0.000892,               0.000892
                     94,                0.29534,                 0.3028,                0.86668,                0.97764,                0.98843,                 0.9923,                0.94011,                0.27952,                0.29045,                0.77806,               0.000793,               0.000793,               0.000793
                     95,                0.29043,                0.28709,                0.85481,                0.97669,                0.98953,                0.99209,                0.93945,                 0.2784,                0.28934,                0.77606,               0.000694,               0.000694,               0.000694
                     96,                0.29847,                0.30524,                0.86799,                0.97627,                0.98925,                0.99218,                0.95097,                0.28237,                0.28792,                0.77485,               0.000595,               0.000595,               0.000595
                     97,                0.29022,                0.30792,                0.86449,                0.97549,                0.98985,                0.99199,                0.95158,                0.28349,                0.28718,                0.77543,               0.000496,               0.000496,               0.000496
                     98,                0.29109,                0.28894,                0.86262,                0.97575,                0.98507,                0.99237,                0.95032,                 0.2823,                0.28611,                 0.7759,               0.000397,               0.000397,               0.000397
                     99,                0.30041,                0.31568,                0.85967,                0.97902,                0.98811,                0.99266,                0.95122,                0.28125,                0.28426,                0.77625,               0.000298,               0.000298,               0.000298
